,source_url,article_title,article_text,published_date
0,https://www.sudinfo.be/id693551/article/2023-08-03/rugby-d1-soignies-en-pleine-reconstruction-et-avec-un-nouveau-coach-remettre-des,Rugby (D1) | Soignies en pleine reconstruction et avec un nouveau coach: «Remettre des standards d’entraînement assez élevés»,"Boris Montoisy a pris du recul et c’est donc Bertrand Billi qui assurera le rôle de T1 de Soignies cette saison. Avant de parler de playoffs ou de titre, il concentre sur les entraînements pour aider son équipe à refonctionner correctement.",2023-08-03
1,https://www.sudinfo.be/id693548/article/2023-08-03/futsal-premiere-revue-des-troupes-ce-vendredi-au-fmc-charleroi-qui-dispute-son,"Futsal | Première revue des troupes ce vendredi au FMC Charleroi, qui dispute son premier amical de la saison contre Courcelles","Après avoir repris l’entraînement mardi, le FMC Charleroi joue en amical ce vendredi (21h15) contre l’AT Courcelles. La reprise s’est bien passée également pour le FT Charleroi qui jouera son premier match de préparation la semaine prochaine.",2023-08-03
2,https://www.sudinfo.be/id693534/article/2023-08-03/basket-messieurs-nouveau-depart-pour-haneffe-retrouvailles-entre-huy-et-wanze,"Basket - Messieurs | Nouveau départ pour Haneffe, retrouvailles entre Huy et Wanze (tous les transferts, les noyaux, les réactions et les ambitions)","Cette semaine marque la reprise du basket. Découvrez la deuxième partie de notre dossier à Huy-Waremme relative aux messieurs, de Régionale 2 et Provinciale 1.",2023-08-03
3,https://www.sudinfo.be/id693530/article/2023-08-03/basket-dames-huy-sera-tres-ambitieux-tous-les-transferts-les-noyaux-les,"Basket - Dames | Huy sera très ambitieux (tous les transferts, les noyaux, les réactions et les ambitions)","Cette semaine marque la reprise du basket. Découvrez la première partie de notre dossier à Huy-Waremme relative aux dames, de Régionale 1 et Régionale 2.",2023-08-03
4,https://www.sudinfo.be/id693518/article/2023-08-03/basket-selectionne-pour-leuro-u16-en-macedoine-le-jeune-carolo-diego-minucci,"Basket | Sélectionné pour l’Euro U16 en Macédoine, le jeune Carolo Diego Minucci, formé au Spirou de Charleroi, va vivre son rêve européen",Le basketteur formé au Spirou s’est envolé ce jeudi pour la Macédoine avec l’équipe nationale U16 pour participer à l’Euro. Sa famille va le rejoindre sur place pour le soutenir dans cette première aventure sur la scène internationale.,2023-08-03
5,https://www.sudinfo.be/shopping/bons-plans/id693517/reveillez-vos-sens-avec-48-de-remise-sur-la-machine-cafe-lor-barista-de-philips,Réveillez vos sens avec 48% de remise sur la machine à café L'Or Barista de Philips et profitez d’un café d'exception dès le saut du lit !,"Appréciez toutes les saveurs de votre café avec la cafetière l’Or Barista. Et cerise sur le gâteau, cette machine à café Philips est actuellement disponible au prix fou de 59,99€ au lieu de 114,99€, soit 48% de réduction. Foncez ! ",2023-08-03
6,https://www.sudinfo.be/id693388/article/2023-08-03/momignies-thibaut-ramaekers-est-vice-champion-deurope-de-karting,Momignies: Thibaut Ramaekers est vice-champion d’Europe de karting,Le jeune pilote continue de performer à seulement 13 ans.,2023-08-03
7,https://www.sudinfo.be/shopping/bons-plans/id693511/apple-offrez-vous-les-airpods-pro-2021-magsafe-leur-meilleur-prix-avec-electro,Apple : offrez-vous les AirPods Pro 2021 MagSafe à leur meilleur prix avec Électro Dépôt et bénéficiez de la livraison gratuite,"Si vous n’êtes pas encore équipé d’écouteurs haut de gamme, il est temps de vous offrir les AirPods Pro 2021 MagSafe. Électro Dépôt les propose au prix canon de 229,95 € et vous offre la livraison. ",2023-08-03
8,https://www.sudinfo.be/id693508/article/2023-08-03/la-troisieme-saison-du-futsal-popeye-piters-challenge-demarre-le-19-aout-grace,La troisième saison du Futsal Popeye Piters Challenge démarre le 19 août à Grâce-Hollogne,C’est déjà reparti ! Le Futsal Popeye Piters Challenge se lance dans une troisième saison et propose quelques nouveautés à ses participants.,2023-08-03
9,https://www.sudinfo.be/id693471/article/2023-08-03/n1-arno-valkenaers-motive-apres-avoir-signe-la-raal-le-club-me-voulait-pour-que,N1 | Arno Valkenaers motivé après avoir signé à la RAAL: «Le club me voulait pour que je grandisse avec le projet»,"Arrivé cet été à la RAAL, Arno Valkenaers est motivé à l’idée de réussir avec les Loups. À 22 ans, le jeune portier a déjà acquis une belle expérience en Nationale 1 grâce à son prêt à Tessenderlo.",2023-08-03
10,https://www.sudinfo.be/shopping/bons-plans/id693506/reduisez-les-matieres-grasses-de-vos-plats-preferes-avec-30-de-remise-sur-le,Réduisez les matières grasses de vos plats préférés avec 30% de remise sur le Airfryer XL Philips Essential !,"Frire, cuire, rôtir, griller, réchauffer… la cuisine saine n’a pas de limite avec le Airfryer XL Philips Essential. Et bonne nouvelle, cette friteuse sans huile est en ce moment disponible pour seulement 139€ au lieu de 199,99€, soit une remise de 30%. Foncez !",2023-08-03
11,https://www.sudinfo.be/id693505/article/2023-08-03/n1-alexandro-cavagnera-vise-jouera-wiltz-la-saison-prochaine,N1 | Alexandro Cavagnera (Visé) jouera à Wiltz la saison prochaine,"À la reprise des entraînements avec l’URSL Visé, Alexandro Cavagnera évoluera finalement du côté de Wiltz, D1 luxembourgeoise, la saison prochaine.",2023-08-03
12,https://www.sudinfo.be/id693504/article/2023-08-03/celine-de-roy-ex-royal-iv-brusselset-le-rwanda-dans-le-dernier-carre-de,Céline De Roy (ex-Royal IV Brussels)et le Rwanda dans le dernier carré de l’AfroBasket!,La belle histoire continue pour la Bruxelloise qui a fait ses classes au Royal IV. Céline De Roy et le Rwanda viennent en effet d’écrire une nouvelle page à l’AfroBasket de Kigali.,2023-08-03
13,https://www.sudinfo.be/shopping/bons-plans/id693498/samsonite-eastpak-american-tourister-profitez-des-ventes-flash-damazon-pour-vous,"Samsonite, Eastpak, American Tourister,... profitez des ventes flash d’Amazon pour vous offrir une nouvelle valise et économisez jusqu’à -20%",Vous partez bientôt en vacances ? Profitez des ventes flash d’Amazon pour vous acheter de nouveaux bagages. Le géant du e-commerce propose des remises pouvant aller jusqu’à -20% sur des valises de grandes marques.,2023-08-03
14,https://www.sudinfo.be/id693493/article/2023-08-03/ma-mere-ton-pere-lamour-et-moi-cest-quoi-cette-nouvelle-tele-realite-de-tf1-qui,"«Ma mère, ton père, l’amour et moi»: c’est quoi cette nouvelle télé-réalité de TF1? Qui sont les candidats?","Et si les enfants savaient exactement ce dont leurs parents ont besoin en amour ? Après « Mon incroyable fiancé » et « L’amour est aveugle », TF1 lance une nouvelle expérience surprenante avec, à la présentation, Hélène Mannarino.",2023-08-03
15,https://www.sudinfo.be/id693491/article/2023-08-03/presentation-de-nos-equipes-de-p3a-la-montkainoise-et-bievene-descendants-et,"Présentation de nos équipes de P3A | La Montkainoise et Biévène, descendants et solides outsiders, trouveront à qui parler avec Thumaide et Béclers","Kain, Biévène, Béclers et Thumaide peuvent être considérés comme des outsiders en P3A. Mais l’une de ces équipes pourrait finalement enfiler le costume de favori si elle trouve vite la bonne carburation. Retrouvez aussi les pronos et les noyaux...",2023-08-03
16,https://www.sudinfo.be/id693271/article/2023-08-03/lagenda-jogging-la-corrida-dyvoir-le-delobbe-dans-la-botte-du-hainaut-ou-un,"L’agenda jogging: la Corrida d’Yvoir, le Delobbe dans la Botte du Hainaut ou un trail à Profondeville sont notamment au programme",Retrouvez les courses du week-end dans notre région.,2023-08-03
17,https://www.sudinfo.be/id693399/article/2023-08-03/volley-p3-focus-sur-le-tres-jeune-noyau-denghien-que-les-cadets-qui-montent,Volley (P3) | Focus sur le (très jeune) noyau d’Enghien: «Que les cadets qui montent puissent découvrir le monde senior»,"C’est une « équipe de formation » qui a été confiée à Jonathan Merckx, coach de la P3 enghiennoise, qui voudra faire évoluer son équipe au maximum.",2023-08-03
18,https://www.sudinfo.be/id693467/article/2023-08-03/foot-us-jules-bouron-nouveau-pensionnaire-de-la-nfl-academy-de-londres,"FOOT US | Jules Bouron, nouveau pensionnaire de la NFL Academy de Londres","Le jeune homme de 17 ans vient de franchir une nouvelle étape dans sa carrière en rejoignant, depuis samedi, l’académie britannique de la fameuse ligue américaine !",2023-08-03
